time_s,z_m,z_cm,T_axis_2d_C,C_axis_2d,T_side_2d_C,C_side_2d,T_end_axis_surface_C,C_end_axis_surface
5400.0000,0.0564,5.6373,47.1376,2.5184,48.0158,1.0513,47.1376,2.5184
5400.0000,0.0613,6.1275,47.1231,2.5184,48.0077,1.0513,47.1231,2.5184
5400.0000,0.0662,6.6176,47.1124,2.5184,48.0018,1.0513,47.1124,2.5184
5400.0000,0.0711,7.1078,47.1047,2.5184,47.9975,1.0513,47.1047,2.5184
5400.0000,0.0760,7.5980,47.0990,2.5184,47.9944,1.0513,47.0990,2.5184
5400.0000,0.0809,8.0882,47.0950,2.5184,47.9921,1.0513,47.0950,2.5184
5400.0000,0.0858,8.5784,47.0922,2.5184,47.9905,1.0513,47.0922,2.5184
5400.0000,0.0907,9.0686,47.0902,2.5184,47.9894,1.0513,47.0902,2.5184
5400.0000,0.0956,9.5588,47.0888,2.5184,47.9887,1.0513,47.0888,2.5184
5400.0000,0.1005,10.0490,47.0878,2.5184,47.9881,1.0513,47.0878,2.5184
5400.0000,0.1054,10.5392,47.0872,2.5184,47.9878,1.0513,47.0872,2.5184
5400.0000,0.1103,11.0294,47.0867,2.5184,47.9875,1.0513,47.0867,2.5184
5400.0000,0.1152,11.5196,47.0865,2.5184,47.9874,1.0513,47.0865,2.5184
5400.0000,0.1201,12.0098,47.0863,2.5184,47.9873,1.0513,47.0863,2.5184
5400.0000,0.1250,12.5000,47.0863,2.5184,47.9873,1.0513,47.0863,2.5184
5400.0000,0.1299,12.9902,47.0863,2.5184,47.9873,1.0513,47.0863,2.5184
5400.0000,0.1348,13.4804,47.0865,2.5184,47.9874,1.0513,47.0865,2.5184
5400.0000,0.1397,13.9706,47.0867,2.5184,47.9875,1.0513,47.0867,2.5184
5400.0000,0.1446,14.4608,47.0872,2.5184,47.9878,1.0513,47.0872,2.5184
5400.0000,0.1495,14.9510,47.0878,2.5184,47.9881,1.0513,47.0878,2.5184
5400.0000,0.1544,15.4412,47.0888,2.5184,47.9887,1.0513,47.0888,2.5184
5400.0000,0.1593,15.9314,47.0902,2.5184,47.9894,1.0513,47.0902,2.5184
5400.0000,0.1642,16.4216,47.0922,2.5184,47.9905,1.0513,47.0922,2.5184
5400.0000,0.1691,16.9118,47.0950,2.5184,47.9921,1.0513,47.0950,2.5184
5400.0000,0.1740,17.4020,47.0990,2.5184,47.9944,1.0513,47.0990,2.5184
5400.0000,0.1789,17.8922,47.1047,2.5184,47.9975,1.0513,47.1047,2.5184
5400.0000,0.1838,18.3824,47.1124,2.5184,48.0018,1.0513,47.1124,2.5184
5400.0000,0.1887,18.8725,47.1231,2.5184,48.0077,1.0513,47.1231,2.5184
